rut,razon_social,direccion,telefono,email
01234500-8,Salud y Bienestar,"Paseo Médico 468, Osorno",991234567,contacto@saludybienestar.cl
12345611-9,MedInsumos S.A.,"Av. Salud 123, Santiago",987654321,contacto@medinsumos.cl
23456722-0,Farmacia Saludable,"Calle Bienestar 456, Valparaíso",912345678,info@farmaciasaludable.cl
34567833-1,Insumos Médicos Ltda.,"Ruta Médica 789, Concepción",934567890,ventas@insumosmedicos.cl
45678944-2,Salud y Vida,"Paseo Salud 321, La Serena",945678901,contacto@saludyvida.cl
56789055-3,Medicina Pro,"Calle Sanitaria 654, Temuco",956789012,info@medicinapro.cl
67890166-4,Proveedores Médicos,"Av. Clínica 987, Antofagasta",967890123,ventas@proveedoresmedicos.cl
78901277-5,Salud Integral,"Calle Bienestar 135, Iquique",978901234,contacto@saludintegral.cl
89012388-6,Insumos Vitales,"Av. Vital 246, Rancagua",989012345,info@insumosvitales.cl
90123499-7,Medicamentos y Más,"Calle Medicinal 357, Puerto Montt",990123456,ventas@medicamentosymas.cl
